time,frequency,confidence
10.21,43.841,0.041299
10.22,33.065,0.184660
10.23,44.550,0.084372
10.24,44.620,0.102407
10.25,87.103,0.084621
10.26,33.138,0.104529
10.27,51.944,0.222740
10.28,52.004,0.288540
10.29,33.157,0.146150
10.30,33.117,0.070422
10.31,43.754,0.074950
10.32,43.509,0.350247
10.33,43.027,0.416275
10.34,42.814,0.317250
10.35,42.723,0.679033
10.36,42.644,0.683606
10.37,42.792,0.298734
10.38,43.055,0.087690
10.39,43.498,0.064726
10.40,39.114,0.221074
10.41,32.833,0.208218
10.42,92.685,0.232327
10.43,87.004,0.122521
10.44,253.783,0.150392
10.45,252.923,0.088709
10.46,83.973,0.084077
10.47,84.766,0.116899
10.48,41.095,0.048806
10.49,85.922,0.032103
10.50,43.277,0.177952
10.51,43.322,0.707739
10.52,42.857,0.310569
10.53,42.715,0.093709
10.54,86.653,0.108389
10.55,86.833,0.086904
10.56,44.851,0.076721
10.57,44.954,0.252051
10.58,181.312,0.084682
10.59,180.194,0.033604
10.60,120.949,0.180859
10.61,120.349,0.217402
10.62,121.107,0.097066
10.63,120.524,0.088283
10.64,175.414,0.104123
